2025-12-12 15:11:07: Running on host: cad184d29a10
2025-12-12 15:11:07: Seed with <1234>
2025-12-12 15:11:08: Module repr_callback is not provided. To calculate mahalanobis, the provided dataset will be used to calculate precision matrix afterwards.
Calculating features from provided dataset <../../LiFePO4.traj>.
Calculating precision matrix from 2257 structures.
Processing batch 1/18
Processing batch 2/18
Processing batch 3/18
Processing batch 4/18
Processing batch 5/18
Processing batch 6/18
Processing batch 7/18
Processing batch 8/18
Processing batch 9/18
Processing batch 10/18
Processing batch 11/18
Processing batch 12/18
Processing batch 13/18
Processing batch 14/18
Processing batch 15/18
Processing batch 16/18
Processing batch 17/18
Processing batch 18/18
2025-12-12 15:11:22: Calcator assigned to atoms.
           step           epot           ekin           etot      maha_dist     is_outlier     is_warning
uncertainty backend state: <curator.simulate.uncertainty.auto.AutoUncertainty object at 0x7f73b0b0ef10>
uncertainty snapshot: {'maha_dist': 10.914968490600586, 'is_outlier': False, 'is_warning': False}
            286     -182.95712        1.39928     -181.55784       15.92435        0.00000        0.00000
            287     -182.82864        1.14874     -181.67990       15.79947        0.00000        0.00000
            288     -182.96480        1.28203     -181.68277       15.99474        0.00000        0.00000
            289     -182.91556        1.23550     -181.68006       16.77308        0.00000        0.00000
            290     -182.83557        1.09351     -181.74206       17.35525        0.00000        0.00000
            291     -182.83623        1.10277     -181.73346       17.63035        0.00000        0.00000
            292     -182.91452        1.32869     -181.58583       18.16309        0.00000        0.00000
            293     -182.72083        1.10922     -181.61161       18.68948        0.00000        0.00000
            294     -182.62363        0.94264     -181.68098       18.99385        0.00000        0.00000
            295     -182.91263        1.27516     -181.63747       18.78359        0.00000        0.00000
            296     -182.78810        1.49675     -181.29135       18.78609        0.00000        0.00000
            297     -182.61722        1.42564     -181.19158       18.81446        0.00000        0.00000
            298     -182.96149        1.53040     -181.43108       17.87598        0.00000        0.00000
            299     -183.03108        1.72165     -181.30943       17.64721        0.00000        0.00000
            300     -182.65068        1.46030     -181.19038       18.50304        0.00000        0.00000
            301     -182.64072        1.25570     -181.38502       18.47546        0.00000        0.00000
            302     -182.88870        1.48063     -181.40807       17.22413        0.00000        0.00000
            303     -182.97731        1.52657     -181.45074       16.07054        0.00000        0.00000
            304     -182.84148        1.25314     -181.58834       16.13372        0.00000        0.00000
            305     -183.04193        1.38485     -181.65708       16.17893        0.00000        0.00000
            306     -183.04980        1.41908     -181.63072       15.95814        0.00000        0.00000
            307     -182.99535        1.22761     -181.76774       15.61877        0.00000        0.00000
            308     -183.01360        1.24913     -181.76447       15.54558        0.00000        0.00000
            309     -182.95312        1.23029     -181.72283       15.81232        0.00000        0.00000
            310     -183.02312        1.20569     -181.81743       15.80299        0.00000        0.00000
            311     -183.09467        1.16151     -181.93316       15.76967        0.00000        0.00000
            312     -182.93724        1.11242     -181.82482       15.84091        0.00000        0.00000
            313     -182.97319        1.04566     -181.92753       16.16104        0.00000        0.00000
            314     -183.15800        1.18599     -181.97201       17.08183        0.00000        0.00000
            315     -183.05377        1.07750     -181.97627       18.11439        0.00000        0.00000
            316     -182.80394        0.97305     -181.83089       18.32253        0.00000        0.00000
            317     -183.00247        1.11008     -181.89240       17.95226        0.00000        0.00000
            318     -182.92842        1.04514     -181.88328       18.50430        0.00000        0.00000
            319     -182.72363        0.86591     -181.85772       19.51373        0.00000        0.00000
            320     -182.91026        0.95921     -181.95106       19.33691        0.00000        0.00000
            321     -183.15718        1.23807     -181.91911       17.74362        0.00000        0.00000
            322     -183.20218        1.40842     -181.79376       16.44830        0.00000        0.00000
            323     -183.14899        1.22060     -181.92839       15.74119        0.00000        0.00000
            324     -183.11476        1.20635     -181.90842       15.58537        0.00000        0.00000
            325     -183.09076        1.10734     -181.98342       16.07444        0.00000        0.00000
            326     -183.06572        1.08078     -181.98494       16.47861        0.00000        0.00000
            327     -183.07617        0.96857     -182.10760       16.85403        0.00000        0.00000
            328     -183.05354        1.04623     -182.00731       17.23624        0.00000        0.00000
            329     -183.07275        0.97307     -182.09969       17.12119        0.00000        0.00000
            330     -182.88008        0.80213     -182.07796       17.19238        0.00000        0.00000
            331     -183.00351        1.06425     -181.93926       17.05678        0.00000        0.00000
            332     -183.09224        1.11506     -181.97718       16.81312        0.00000        0.00000
            333     -183.02191        1.22468     -181.79723       16.38803        0.00000        0.00000
            334     -183.02480        1.06308     -181.96171       16.02678        0.00000        0.00000
